,drugName,condition,Side_Effect,effectiveness
1405,Metolazone,Edema,,61.01%
1406,Metoprolol,"Angina, Atrial Fibrillation, Benign Essential Trem, Heart Attack, Heart Failure, High Blood Pressure, Left Ventricular Dysfunction, Migraine Prevention, Mitral Valve Prolapse, Not Listed / Othe, Premature Ventricular Depolarizations, Supraventricular Tachycardia","sleepy, chest tightness, cardiac ablation, adverse effect, sinus rhythm, hypotension, anger, fall, tired, hoarseness, ataxia, heartburn, endoscopy, Arrhythmia, sweat, constipation, Fatigue, exhaustion, surgery, drowsiness, stress at work, Tachycardia, Dizziness, aortic valve replacement, numbness, carditis, panic, elation, overweight, traction, Wound, pain, tremor, stress, erectile dysfunction, x-ray, drug interaction, Headache, aura, tinnitus, Migraine, ache, rebound effect, heavy legs, bradycardia, Hypertension, diarrhea, nausea, wound, Anxiety, echocardiogram, nightmare, weight gain, fatigue, difficulty, vertigo, vaginal hysterectomy, dizziness, swelling, cough, dizzy spells, delivery, Supraventricular tachycardia, worry, hysterectomy, heavy feeling, palpitation, spasm, withdraw, Atrial fibrillation, headache, shortness of breath, chest discomfort, lightheadedness, Nausea, redness",46.16%
1407,Metoprolol Tartrate,"Heart Attack, High Blood Pressure","tired, erectile dysfunction",42.16%
1408,Metozolv ODT,Gastroparesis,"pain, paresis",37.96%
1409,Metronidazole,"Amebiasis, Bacterial Infection, Bacterial Vaginitis, Bone infection, Clostridial Infection, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Deep Neck Infection, Dental Abscess, Diverticulitis, Giardiasis, Helicobacter Pylori Infection, Intraabdominal Infection, Not Listed / Othe, Pelvic Inflammatory Disease, Perioral Dermatitis, Pseudomembranous Colitis, Rosacea, STD Prophylaxis, Skin or Soft Tissue Infection, Surgical Prophylaxis, Trichomoniasis","anger, fall, tired, flatulence, vomiting, heartburn, feeling hopeless, Fatigue, exhaustion, surgery, fever, nausea and vomiting, tremor, diarrhea, bite, wound, fatigue, weight gain, terrify, retch, difficulty, dizzy spells, flushing, worry, swollen tongue, alcoholic, lightheadedness, neck stiffness, increased appetite, redness, chest tightness, constipation, sweat, hunger, drowsiness, numbness, unwell, purging, ache, Vomiting, tanning, crying, colonoscopy, swelling, delivery, wisdom teeth removal, Chest pain, groggy, Pain, Infection, out of breath, depressed mood, gag, anxiety disorder, Dizziness, stuffy nose, lesion, Death, overweight, traction, pain, burning sensation, adverse reaction, kidney infection, Depression, drug interaction, overdose, Headache, aura, hangover, nausea, cough, vertigo, Insomnia, stiffness, tooth infection, frustration, withdraw, shooting pain, shortness of breath, tooth extraction, colectomy, Nausea, pustule, welt, extreme exhaustion, lethargy, milky, sleepy, abdominal infection, agitation, myalgia, blood test, choke, panic, elation, pregnancy test, stress, pelvic discomfort, scratch, Ileitis, nightmare, dizziness, malaise, room spinning, chill, hysterectomy, moody, palpitation, spasm, night sweat, flare, headache, birth control, dry throat, low back pain",46.62%
1410,Mexiletine,"Arrhythmia, Diabetic Peripheral Neuropathy, Myotonia Congenita",,54.88%
1411,Miacalcin,Osteoporosis,pain,0.25%
1412,Miconazole,"Tinea Cruris, Tinea Pedis, Vaginal Yeast Infection","Infection, anger, fall, tired, moan, sweat, staring, exhaustion, surgery, Dizziness, panic, excruciating pain, elation, hoard, Death, screaming, traction, Cystitis, snore, adverse reaction, stress, snoring, lung infection, radical hysterectomy, pain, burning sensation, ache, scratch, crying, bite, wound, murder, electrocution, nightmare, swelling, flushing, general discomfort, delivery, trance, worry, hysterectomy, tooth infection, spasm, open wound, shooting pain, headache, shortness of breath, Pain, birth control, redness",18.86%
1413,Microgestin Fe 1 / 20," 1  2     Abnormal Uterine Bleeding, Acne, Birth Control, Endometriosis, Menstrual Disorders, Polycystic Ovary Syndrome","food craving, sleepy, adverse effect, anger, fall, tired, Crying, Stress, sweat, hunger, no adverse effect, exhaustion, drowsiness, suicidal, numbness, panic, elation, pregnancy test, pain, adverse reaction, stress, ache, diarrhea, unhappy, crying, nausea, fatigue, nightmare, weight gain, retch, dizziness, swelling, Mood swings, worry, hysterectomy, moody, night sweat, flare, spider vein, headache, shortness of breath, cyst rupture, birth control, bedridden, lethargy, increased appetite",46.78%
1414,Midamor,High Blood Pressure,,6.07%
1415,Midazolam,"ICU Agitation, Light Anesthesia, Light Sedation","wisdom teeth removal, sleepy, tinnitus, crying, bone graft, alcoholic, vomiting, anxiety disorder, nightmare, terrify, colonoscopy, pain management, pain, vertigo, oral surgery, stress, agitation, surgery",40.20%
1416,Midodrine,"Dysautonomia, Hypotension, Postural Orthostatic Tachycardia Syndrome","Tachycardia, bradycardia, postural orthostatic tachycardia syndrome, seizure, hypotension, syncope, fall, Bradycardia, activation syndrome, pain, Rash, dizziness, flushing, exhaustion, worry, chill",48.43%
1417,Midol Extended Relief,Period Pain,pain,75.00%
1418,Mifepristone,Abortion,,51.25%
1419,Miglitol,"Diabetes, Type 2",,91.00%
1420,Migranal,"Cluster Headaches, Migraine","anger, headache, nausea, stuffy nose, vomiting, pain, burning sensation, Disability, ache",51.64%
1421,Milk thistle,"Herbal Supplementation, Not Listed / Othe","alcoholic, blood test",60.61%
1422,Milnacipran,ibromyalgia,"nausea, pain, fatigue, weight gain",66.14%
1423,Minastrin 24 Fe, Birth Control,"sleepy, irritable mood, adverse effect, sleeplessness, anger, fall, tired, vomiting, constipation, sweat, drowsiness, suicidal, withdrawal bleed, panic, elation, pregnancy test, overweight, traction, pain, burning sensation, adverse reaction, stress, Headache, aura, ache, unhappy, smoker, crying, nausea, fatigue, nightmare, weight gain, dizziness, delivery, worry, moody, palpitation, withdraw, headache, birth control",35.41%
1424,Minivelle,Postmenopausal Symptoms,"palpitation, hot flush, night sweat, headache, pain, sweat, ache, hysterectomy",54.09%
1425,Minocycline,"Acne, Bacterial Infection, Not Listed / Othe, Periodontitis, Rheumatoid Arthritis, Rosacea, Skin and Structure Infection, Skin or Soft Tissue Infection","sleepy, anger, fall, tired, scab, vomiting, constipation, Rash, nervousness, gag, exhaustion, surgery, drowsiness, fever, tunnel vision, autoimmune hepatitis, panic, lesion, traction, purging, pain, thicken, stress, tinnitus, ache, Arthritis, Vomiting, scratch, diarrhea, unhappy, tanning, nausea, bite, fatigue, syringomyelia, cough, vertigo, dizziness, swelling, flushing, worry, chill, Scar, flare, daydreaming, headache, lumbar puncture, birth control, Nausea, pustule, welt, redness",45.41%
1426,Minoxidil,"Alopecia, High Blood Pressure, Not Listed / Othe","massage, cold sweat, fall, headache, nausea, vomiting, pain, thicken, sweat, nausea and vomiting, erectile dysfunction, drug interaction, ache, drowsiness",46.46%
1427,Mirabegron,"Overactive Bladde, Urinary Incontinence","palpitation, spasm, flare, anger, pain, constipation, kidney infection, opiates, x-ray, labour pain",36.28%
1428,Mircette,"Birth Control, Polycystic Ovary Syndrome","birth control, headache, ache, weight gain",56.55%
1429,Mirena,"  Abnormal Uterine Bleeding, Birth Control","laparoscopy, chest tightness, anger, fall, tired, Crying, acupuncture, vomiting, moan, constipation, sweat, hunger, biopsy, erythema, anxiety disorder, surgery, hysteroscopy, blood test, numbness, mammogram, side pain, Abdominal pain, transfusion, sciatica, panic, excruciating pain, elation, pregnancy test, screaming, traction, pain, thicken, kidney infection, stress, vasectomy, laparoscopic surgery, Breast pain, tubal ligation, aura, ache, rectal spasm, hot flush, crying, nausea, wound, Anxiety, nightmare, weight gain, fatigue, cough, difficulty, retch, dizziness, swelling, general discomfort, delivery, rale, worry, hysterectomy, moody, palpitation, frustration, spasm, abortion, shooting pain, moaning, flare, headache, cyst rupture, Pain, birth control, Fall, Nausea, low back pain, increased appetite",40.74%
1430,Mirtazapine,"Anxiety, Depression, Insomnia, Major Depressive Disorde, Not Listed / Othe, Obsessive Compulsive Disorde, Post Traumatic Stress Disorde","anger, fall, tired, flatulence, feeling hopeless, exhaustion, surgery, laziness, Major depression, amphetamines, diarrhea, unhappy, unable to concentrate, obsessive thoughts, fatigue, Anxiety, weight gain, terrify, difficulty, trance, worry, cold sweat, alcoholic, lightheadedness, redness, increased appetite, dependence, chronic fatigue syndrome, constipation, sweat, hunger, drowsiness, suicidal, numbness, unwell, general symptom, ache, crying, dullness, swelling, rale, feeling suicidal, sleep paralysis, groggy, seizure, Increased appetite, Stress, depressive symptom, anxiety disorder, stuffy nose, lesion, Death, overweight, pain, burning sensation, adverse reaction, autism, Depression, overdose, electric shock, hangover, hypersomnia, nausea, anhedonia, vertigo, Insomnia, weight control, underweight, withdraw, shortness of breath, lethargy, sleepy, agitation, myalgia, Abdominal pain, panic, elation, screaming, stress, Hangover, paralyse, nightmare, dizziness, anorexia, psychiatric symptom, homeless, chill, moody, palpitation, spasm, night sweat, abortion, headache, emergency care",51.95%
1431,Misoprostol,"Abortion, Labor Induction, Not Listed / Othe","cold sweat, abortion, headache, nausea, traction, pain, dizziness, sweat, ache",60.30%
1432,Mobic,"1 5  9 9 Inflammatory Conditions, Osteoarthritis, Rheumatoid Arthritis, Tendonitis, ibromyalgia","fall, tired, heartburn, constipation, Sciatica, myalgia, surgery, Dizziness, numbness, sciatica, excruciating pain, pain, electric shock, ache, Arthritis, nausea, fatigue, difficulty, swelling, stiffness, worry, spasm, flare, neuropathic pain, headache, shortness of breath, groggy, Pain",55.53%
1433,Modafinil,"ADHD, Chronic Fatigue Syndrome, Depression, Hypersomnia, Multiple Sclerosis, Narcolepsy, Obstructive Sleep Apnea/Hypopnea Syndrome, Shift Work Sleep Disorde, atigue","mania, sleepy, chronic fatigue syndrome, asymptomatic, anger, fall, tired, vomiting, hunger, depressive symptom, nervousness, Fatigue, myalgia, exhaustion, surgery, drowsiness, suicidal, delayed sleep phase, blood test, Injury, panic, aggression, pain, tremor, stress, snoring, Depression, off label use, ache, amphetamines, yawning, diarrhea, hypersomnia, crying, nausea, fatigue, Anxiety, nightmare, weight gain, muscle mass, difficulty, dizziness, negative thoughts, trance, worry, withdraw, sleep paralysis, headache, shortness of breath, Pain, birth control, hypomania, lethargy, sleep attacks, redness",58.32%
1434,Moexipril,High Blood Pressure,,59.52%
1435,Mometasone,"Allergic Rhinitis, Asthma, Maintenance, Atopic Dermatitis, Dermatitis, Eczema, Nasal Polyps, Not Listed / Othe, Psoriasis, Sinus Symptoms","fall, tired, Psoriasis, pruritus, surgery, fever, stuffy nose, Dermatitis, pain, snoring, Headache, stress, Rhinitis, ache, chapped lips, scratch, crying, wound, cough, difficulty, dizziness, swelling, withdraw, flare, headache, bedridden, sneeze, lethargy, redness",58.04%
1436,Monistat 7-Day Combination Pack,Vaginal Yeast Infection,"scratch, anger, crying, fall, bite, excruciating pain, Pain, vaginal swelling, screaming, pain, burning sensation, swelling, redness",24.65%
1437,Monodox,"Acne, Rosacea","flare, fall, headache, acupuncture, nausea, redness, birth control, Shock, dizziness, stress, ache, worry, hysterectomy",56.97%
1438,Mononessa,"1 Abnormal Uterine Bleeding, Birth Control, Endometriosis, Ovarian Cysts","sleepy, chest tightness, tired, vomiting, sweat, hunger, biopsy, anxiety disorder, surgery, drowsiness, blood test, panic, elation, overweight, pain, stress, Depression, ache, Migraine, diarrhea, tanning, crying, nausea, fatigue, nightmare, weight gain, difficulty, dizziness, swelling, Mood swings, worry, chill, underweight, moody, palpitation, headache, Cold sweat, birth control, Fall, Nausea, amputation, redness",45.00%
1439,Monopril,High Blood Pressure,,63.00%
1440,Monovisc,Osteoarthritis,,-2.21%
1441,Montelukast,"Allergic Rhinitis, Asthma, Asthma, Maintenance, COPD","sleepy, sleeplessness, anger, fall, tired, Crying, out of breath, vomiting, heartburn, allergy test, sweat, agitation, productive cough, suicidal, wheezing, fever, Autism, numbness, stuffy nose, panic, Asthma, snore, pain, tremor, stress, snoring, autism, heavy feeling, ache, yawning, diarrhea, crying, nausea, bite, fatigue, murder, nightmare, terrify, cough, difficulty, Dry eye, dizziness, worry, chill, swollen tongue, moody, night sweat, flare, headache, clumsiness, sneeze, red blotches, redness",30.75%
1442,Monurol,Bladder Infection,pain,51.35%
1443,Morphine,"Chronic Pain, Not Listed / Othe, Pain","sleepy, seizure, breakthrough pain, compression fracture, fall, ileostomy, acupuncture, tired, vomiting, pain management, constipation, Sciatica, spinal cord infarction, Fatigue, thoracic outlet syndrome, surgery, adhesion, drowsiness, myalgia, numbness, sciatica, bone graft, excruciating pain, elation, pain, adverse reaction, overdose, hip surgery, paresthesia, ache, Migraine, massage, Arthritis, delusion, nausea, weight gain, syringomyelia, terrify, cough, difficulty, dizziness, pain back, Constipation, Radiculopathy, sports injury, worry, hysterectomy, spasm, withdraw, flare, alcoholic, headache, colectomy, Pain, groggy, low back pain, opiates, abdominal adhesions",57.37%
1444,Morphine / naltrexone,Chronic Pain,"pain, withdraw, ache, feeling strange",43.06%
1445,Motrin,"Back Pain, Gout, Acute, Headache, Osteoarthritis, Pain, Period Pain, Rheumatoid Arthritis","headache, pain, ache, stress",70.85%
1446,Motrin IB,"Back Pain, Pain, Period Pain","headache, ache, swelling",75.98%
1447,Motrin Infant Drops,Pain,,100.00%
1448,MoviPrep,Bowel Preparation,,33.73%
1449,Moxatag,Bacterial Endocarditis Prevention,,90.30%
1450,Moxeza,"Conjunctivitis, Bacterial",,70.00%
1451,Moxifloxacin,"Bacterial Infection, Conjunctivitis, Bacterial, Ophthalmic Surgery, Pneumonia, Sinusitis","fever, scratch, nausea, wound, blood count, Pain, cough, difficulty, pain, constipation, surgery, redness",45.91%
1452,Mucinex DM,"Cough, Expectoration","cough, fall, pain",40.90%
1453,Mucinex DM Maximum Strength,Expectoration,,-1.00%
1454,Mucomyst,Expectoration,"headache, ache, bronchoscopy",40.24%
1455,Mucomyst-10,Acetaminophen Overdose,,67.69%
1456,Multivitamin,Dietary Supplementation,"diarrhea, numbness, fall, headache, nausea, fatigue, ache, vomiting, weight gain, bedridden, pain, sweat, vascular insufficiency, stress, tinnitus, myalgia, surgery, hysterectomy",43.35%
1457,Multivitamin with iron,"Anemia, Not Listed / Othe, Vitamin/Mineral Supplementation and Deficiency","blood test, night sweat, nausea, fatigue, vomiting, nightmare, pain, constipation, sweat, surgery",64.58%
1458,Multivitamin with minerals,Vitamin/Mineral Supplementation and Deficiency,"diarrhea, tired, nausea, fatigue, vomiting, Nausea, ache",39.68%
1459,"Multivitamin, prenatal",Vitamin/Mineral Supplementation during Pregnancy/Lactation,"nausea, heartburn, pain, constipation, ache",64.38%
1460,Mumps virus vaccine,Mumps Prophylaxis,,28.00%
1461,Mupirocin,"Impetig, Nasal Carriage of Staphylococcus aureus, Not Listed / Othe, Secondary Cutaneous Bacterial Infections, Skin and Structure Infection","scratch, headache, shortness of breath, scab, lesion, arthralgia, pain, dizziness, adverse reaction, ache, surgery",54.02%
1462,Muse,Erectile Dysfunction,"numbness, pain, burning sensation, swelling, erectile dysfunction, myalgia, surgery",41.08%
1463,My Way, Emergency Contraception,"stress, night sweat, headache, nausea, fatigue, panic, pregnancy test, birth control, pain, sweat, divorced, ache, worry",51.80%
1464,Mycelex Troche,Oral Thrush,,43.19%
1465,Mycophenolate mofetil,"Autoimmune Hepatitis, Bullous Pemphigoid, Dermatomyositis, Multiple Sclerosis, Myasthenia Gravis, Nephrotic Syndrome, Organ Transplant, Rejection Prophylaxis, Psoriatic Arthritis, Rheumatoid Arthritis, Systemic Lupus Erythematosus, Ulcerative Colitis, Uveitis","asthenia, blood test, Erythema, heart transplant, Scleroderma, ache, pain, dizziness, Tremor, Colitis, liver transplant",60.33%
1466,Mydayis,ADHD,"fall, headache, nausea, tired, traction, binge eating, ache",34.69%
1467,Myfortic,"Dermatomyositis, Rejection Prophylaxis","lung transplant, diarrhea",65.32%
1468,Mylanta,GERD,,70.00%
1469,Mylanta Gas,Gas,,15.25%
1470,Myleran,"Chronic Myelogenous Leukemia, Thrombocythemia",,75.83%
1471,Myorisan,Acne,"pain, bite",60.00%
1472,Myrbetriq,"Overactive Bladde, Urinary Incontinence","sleepy, chest tightness, adverse effect, Infection, anger, tired, visual disturbance, vomiting, heartburn, hacking cough, constipation, surgery, Drug interaction, pain, tremor, stress, drug interaction, ache, diarrhea, nightmare, weight gain, urge incontinence, colonoscopy, difficulty, vertigo, dizziness, cough, Constipation, worry, chill, hysterectomy, Scar, mixed incontinence, spasm, headache, shortness of breath, Pain, Nausea, sneeze",41.05%
1473,Nabilone,ibromyalgia,"pain, myalgia",57.54%
1474,Nabumetone,"Back Pain, Muscle Pain, Not Listed / Othe, Osteoarthritis, Rheumatoid Arthritis, Sciatica, zen Shoulde","facet joint syndrome, diarrhea, spasm, flare, anger, sciatica, headache, nausea, fatigue, ache, low back pain, pain, dizziness, Sciatica, swelling, opiates, myalgia, worry, surgery",42.08%
1475,Nadolol,"Anxiety, Benign Essential Trem, Esophageal Variceal Hemorrhage Prophylaxis, Migraine Prevention, Supraventricular Tachycardia","palpitation, tired, headache, nausea, elation, vomiting, pain, dizziness, sweat, stress, tremor, ache, worry, Migraine",60.57%
1476,Nafarelin,Endometriosis,pain,57.79%
1477,Nafcillin,Bone infection,diarrhea,57.00%
1478,Naftifine,"Tinea Corporis, Tinea Cruris, Tinea Pedis",,74.61%
1479,Nalbuphine,Pain,"sleepy, headache, pain, ache, stupor",64.13%
1480,Naloxegol,"Constipation, Chronic, Constipation, Drug Induced, Opioid-Induced Constipation","anger, flatulence, vomiting, gurgle, pain management, constipation, sweat, nervousness, myalgia, surgery, drowsiness, fever, panic, screaming, traction, pain, adverse reaction, Chills, ache, yawning, diarrhea, crying, nausea, fatigue, nightmare, colonoscopy, dizziness, swelling, Constipation, chill, hysterectomy, cold sweat, withdraw, headache, shortness of breath, colectomy, Pain, hospitalisation, Nausea, opiates",30.82%
1481,Naloxone,"Opioid Overdose, Reversal of Opioid Sedation","Scar, headache, terrify, pain, overdose, ache",56.96%
1482,Naloxone / oxycodone,Pain,Pain,22.00%
1483,Naloxone / pentazocine,"Chronic Pain, Pain","seizure, withdraw, Pain, pain, bedridden, adverse reaction, myalgia, surgery",65.75%
1484,Naltrexone,"Alcohol Dependence, Opiate Dependence, Trichotillomania, ibromyalgia","mania, dependence, sleepy, sleeplessness, anger, fall, tired, vomiting, alcoholism, constipation, sweat, hunger, myalgia, urine analysis, drowsiness, suicidal, fever, illusion, elation, pain, adverse reaction, divorced, stress, Depression, overdose, Chills, aura, ache, amphetamines, hangover, diarrhea, nausea, bite, fatigue, anhedonia, blackout, nightmare, weight gain, difficulty, retch, feeling guilty, dizziness, Alcoholism, homeless, worry, chill, moody, frustration, liver function test, spasm, withdraw, flare, alcoholic, headache, shortness of breath, opiates",59.18%
1485,Namenda,3 3 Alzheimer's Disease,adverse effect,30.76%
1486,Namenda XR,2 Alzheimer's Disease,,38.75%
1487,Naphazoline,"Eye Redness/Itching, Nasal Congestion",,38.89%
1488,Naphazoline / pheniramine,Eye Redness/Itching,"tired, eye allergy, pain, burning sensation, redness",54.49%
1489,Naprelan,"Back Pain, Headache, Muscle Pain, Osteoarthritis, Pain, Period Pain, Sciatica","numbness, headache, pain, swelling, Sciatica, ache, surgery",69.89%
1490,Naproxen,"Ankylosing Spondylitis, Back Pain, Bursitis, Chronic Myofascial Pain, Costochondritis, Gout, Acute, Headache, Muscle Pain, Neck Pain, Not Listed / Othe, Osteoarthritis, Pain, Period Pain, Rheumatoid Arthritis, Sciatica, Tendonitis, zen Shoulde","sleepy, breakthrough pain, fall, tired, vomiting, heartburn, piriformis syndrome, pain management, constipation, Stress, Sciatica, sweat, myalgia, surgery, fever, side pain, scar tissue, sciatica, excruciating pain, ligament rupture, unwell, screaming, pain, tendon rupture, kidney infection, stress, tinnitus, ache, Migraine, massage, hot flush, crying, chondritis, nausea, fatigue, weight gain, retch, cough, difficulty, vertigo, dizziness, swelling, stiffness, pain back, Colitis, worry, chill, cold sweat, palpitation, spasm, flare, shooting pain, headache, shortness of breath, Pain, birth control, bedridden, muscle swelling",51.20%
1491,Naproxen / sumatriptan,Migraine,"Vomiting, fever, headache, nausea, vomiting, pain, nausea and vomiting, stress, aura, ache",62.33%
1492,Naratriptan,Migraine,"sleepy, photophobia, nausea, weight gain, groggy, vertigo, pain, bedridden, stress, gag, suicidal, Migraine",57.93%
1493,Narcan Injection,"Opioid Overdose, Reversal of Opioid Sedation","withdraw, accidental overdose, screaming, pain, opiates, overdose",61.14%
1494,Nardil,"1 2 Depression, Migraine Prevention","mania, diarrhea, withdraw, anger, tired, headache, nausea, panic, nightmare, weight gain, difficulty, personality change, constipation, sweat, swelling, social phobia, ache, suicidal",56.46%
1495,Nasacort, Allergic Rhinitis,"cold sweat, fever, sleepy, diarrhea, anger, fall, nasal discomfort, panic, nightmare, cough, pain, sweat, snoring, Cough",39.28%
1496,Nasacort AQ,Allergic Rhinitis,,73.17%
1497,Nasacort Allergy 24HR,Allergic Rhinitis,"anger, headache, fatigue, cough, pain, swelling, flushing, ache",44.51%
1498,Natalizumab,Multiple Sclerosis,"rebound effect, Leukoencephalopathy, blood test, flare, fall, headache, nausea, fatigue, tired, lesion, pain, dizziness, life support, stress, tremor, dizzy spells, ache, worry, redness",56.07%
1499,Natpara,Hypoparathyroidism,"seizure, numbness, diarrhea, fatigue, pain, gag, myalgia",58.15%
1500,Natroba,Head Lice,,57.33%
1501,Nebivolol,"High Blood Pressure, Mitral Valve Prolapse, Not Listed / Othe","Tachycardia, palpitation, fall, headache, tired, pain, stress, ache",53.38%
1502,Necon 7 / 7 / 7,"Acne, Birth Control",nausea,28.14%
1503,Nefazodone,"Anxiety, Depression, Major Depressive Disorde, Panic Disorde","sleepy, fall, constipation, myalgia, Fatigue, anxiety disorder, blood test, panic, pain, social phobia, stress, Depression, ache, Migraine, hangover, nausea, fatigue, dizziness, worry, unsteady gait, alcoholic, headache",62.26%
1504,Neo-Synephrine Nasal,Nasal Congestion,,85.00%
1505,Neoral,"Idiopathic Thrombocytopenic Purpura, Organ Transplant, Rejection Prophylaxis, Psoriasis",weight gain,69.22%
1506,Neosporin,Bacterial Skin Infection,swelling,45.13%
1507,Neostigmine,Myasthenia Gravis,,76.00%
1508,Nesina,"Diabetes, Type 2",,29.44%
1509,Neurontin,Epilepsy,"alcoholic, seizure, tremor",15.20%
1510,NeutraSal,"Mucositis, Xerostomia",,66.38%
1511,Nevanac,Postoperative Ocular Inflammation,"headache, ache, vertigo, surgery",51.25%
1512,Nevirapine,HIV Infection,fever,43.50%
1513,Nexafed Nasal Decongestant,Nasal Congestion,"sleepy, drowsiness",11.26%
1514,Nexplanon,     Birth Control,"anger, fall, tired, mental disorder, vomiting, heartburn, endometrial ablation, Fatigue, abnormal weight gain, exhaustion, surgery, unwanted pregnancy, fever, laziness, scar tissue, Major depression, diarrhea, unhappy, bite, wound, Anxiety, weight gain, fatigue, terrify, retch, gastric bypass, difficulty, dizzy spells, worry, alcoholic, chest discomfort, lightheadedness, personality change, increased appetite, redness, dependence, sleeplessness, sweat, hunger, nervousness, drowsiness, suicidal, numbness, excruciating pain, aggression, unwell, muscle fatigue, uterine pain, tubal ligation, ache, crying, swelling, delivery, Mood swings, breast feeding, groggy, Pain, postpartum depression, seizure, out of breath, aversion, Stress, depressed mood, gag, anxiety disorder, Dizziness, withdrawal bleed, migraine with aura, overweight, pain, traction, burning sensation, adverse reaction, Depression, drug interaction, Headache, aura, Migraine, smoker, nausea, echocardiogram, cough, vertigo, Insomnia, underweight, Tenderness, frustration, withdraw, shooting pain, vaginismus, shortness of breath, Nausea, extreme exhaustion, food craving, sleepy, Crying, scab, biopsy, staring, emotional distress, choke, transfusion, panic, elation, pregnancy test, screaming, stress, vasectomy, murder, nightmare, Mass, dizziness, chill, hysterectomy, moody, palpitation, Scar, spasm, night sweat, abortion, flare, headache, birth control, dry throat, bedridden, low back pain, Irritability",40.20%
1515,Next Choice,Emergency Contraception,"sleepy, fall, tired, vomiting, constipation, unwanted pregnancy, fever, side pain, panic, elation, pregnancy test, pain, stress, ache, diarrhea, nausea, fatigue, vertigo, dizziness, worry, headache, birth control",57.56%
1516,Niacin,"Depression, High Cholesterol, Hyperlipoproteinemia, Hyperlipoproteinemia Type IV, Elevated VLDL, Niacin Deficiency","Flushing, mania, sleeplessness, tired, vomiting, alcoholism, Arrhythmia, sweat, nervousness, suicidal, blood test, panic, pain, ache, scratch, flushing, sedentary, negative thoughts, chill, palpitation, liver function test, withdraw, headache, Nausea",51.91%
1517,Niacinamide,Niacin Deficiency,unwell,20.00%
1518,Nicoderm CQ,1 Smoking Cessation,"withdraw, unhappy, smoker, fall, tired, cough, pain, swelling, ache, Pregnancy, worry, redness",67.90%
1519,Nicotine,"Not Listed / Othe, Smoking Cessation","stress, diarrhea, withdraw, surgery, anger, smoker, fall, tired, panic, heartburn, pain, constipation, lung operation, worry, boredom",61.04%
1520,Nifedical XL,"High Blood Pressure, Raynaud's Syndrome",pain,38.48%
1521,Nifedipine,"High Blood Pressure, Not Listed / Othe, Premature Lab, Raynaud's Syndrome","anger, tired, drowsiness, surgery, numbness, traction, pain, stress, erectile dysfunction, Headache, aura, ache, scratch, nausea, dizziness, swelling, flushing, palpitation, spasm, flare, headache, premature rupture of membranes, redness",48.11%
1522,Niferex,Iron Deficiency Anemia,"transfusion, gastric bypass, surgery, stress",65.46%
1523,Nikki, Birth Control,"birth control, burning sensation, weight gain",33.53%
1524,Nilotinib,Chronic Myelogenous Leukemia,"tired, nausea, fatigue, heartburn, redness, pain, constipation, swelling, ache, vision blurred",59.07%
1525,Nilstat,Oral Thrush,,61.44%
1526,Nimodipine,"Ischemic Stroke, Subarachnoid Hemorrhage",,72.38%
1527,Niraparib,Ovarian Cance,,7.00%
1528,Nisoldipine,Raynaud's Syndrome,"headache, ache",7.00%
1529,Nitro-Bid,"Heart Attack, Raynaud's Syndrome","pain, bite, frostbite",74.24%
1530,Nitrofurantoin,"Bladder Infection, Not Listed / Othe, Prevention of Bladder infection, Urinary Tract Infection","sleepy, chest tightness, sleeplessness, anger, fall, tired, Adverse reaction, vomiting, heartburn, bed rest, pain management, constipation, sweat, biopsy, gag, staring, Fatigue, exhaustion, surgery, drowsiness, suicidal, fever, tunnel vision, numbness, side pain, choke, stuffy nose, panic, excruciating pain, unwell, pain, burning sensation, adverse reaction, kidney infection, stress, Chills, Headache, prophylaxis, tubal ligation, tremor, Migraine, ache, prostate infection, hot flush, diarrhea, unable to concentrate, crying, nausea, Tinnitus, fatigue, nightmare, terrify, retch, cough, difficulty, vertigo, clammy skin, dizziness, swelling, delivery, malaise, worry, chill, cold sweat, palpitation, Scar, spasm, night sweat, flare, Incontinence, neuropathic pain, headache, shortness of breath, Pain, birth control, Nausea, low back pain, bedridden, welt, lethargy, dialysis, redness",33.46%
1531,Nitroglycerin,"Anal Fissure and Fistula, Angina, Angina Pectoris Prophylaxis, Heart Failure","headache, shortness of breath, excruciating pain, pain, burning sensation, delivery, ache",59.48%
1532,Nitrolingual Pumpspray,"Angina, Heart Attack",pain,69.42%
1533,Nivolumab,"Melanoma, Non-Small Cell Lung Cance, Renal Cell Carcinoma","fever, breakthrough pain, anger, tired, acupuncture, feeling cold, fatigue, cough, pain, ache, surgery, redness",33.34%
1534,Nizatidine,"GERD, Stomach Ulce",,75.25%
1535,Nizoral A-D,"Dandruff, Seborrheic Dermatitis",,41.71%
1536,Nizoral Shampoo,Dandruff,"biopsy, Inflammation",38.28%
1537,Nizoral Topical,"Seborrheic Dermatitis, Tinea Corporis",,82.60%
1538,NoDoz,Hypersomnia,"sleepy, tired, headache, nausea, fatigue, pain, sweat, stress, ache",50.80%
1539,Nolvadex,Breast Cance,"Fluid retention, moody",32.39%
1540,Nonoxynol 9,Birth Control,nightmare,31.24%
