drugName,condition,Side_Effect,effectiveness
Lexiscan,"Diagnosis and Investigation, Radionuclide Myocardial Perfusion Study","numbness, headache, nausea, chest discomfort, pain, stress, ache, worry, wheezing",37.82%
Lialda,"Crohn's Disease, Ulcerative Colitis, Ulcerative Colitis, Active, Ulcerative Colitis, Maintenance, Ulcerative Proctitis","anger, fall, tired, fear of eating, vomiting, fever, blood test, transfusion, pain, adverse reaction, stress, Headache, ache, diarrhea, nausea, fatigue, colonoscopy, Colitis, chill, flare, headache, bedridden, redness",52.85%
Lidocaine,"Anesthesia, Burns, External, Costochondritis, Hemorrhoids, Local Anesthesia, Manscaping Pain, Neuropathic Pain, Not Listed / Othe, Pain, Postherpetic Neuralgia, Sunburn","anger, fall, pain management, pectus excavatum, sweat, myalgia, surgery, blood blister, numbness, sciatica, pain, burning sensation, ache, chondritis, nausea, bite, retch, cough, difficulty, stiffness, cold sweat, spasm, flare, dystonia, Chest pain, headache, Pain, lumbar spinal stenosis, low back pain, welt, opiates",34.09%
Lidocaine / menthol,Muscle Pain,pain,80.97%
Lidocaine / prilocaine,Anesthesia,"pain, flare, surgery",58.68%
Lifitegrast,Dry Eye Disease,pain,48.32%
Liletta,Birth Control,"sleepy, anger, fall, tired, constipation, sweat, surgery, fever, blood test, scar tissue, panic, excruciating pain, elation, pregnancy test, uterine spasm, traction, pain, Depression, ache, diarrhea, smoker, crying, nausea, fatigue, weight gain, cough, dizziness, swelling, bloody discharge, trance, worry, moody, cold sweat, spasm, abortion, headache, Pain, birth control, low back pain, cyst removal",42.21%
Lillow,Birth Control,birth control,34.94%
Linaclotide,"Constipation, Constipation, Chronic, Irritable Bowel Syndrome","intestinal spasm, anger, sinus pain, fall, acupuncture, tired, flatulence, vomiting, endoscopy, gurgle, heartburn, constipation, sweat, biopsy, mitral valve repair, myalgia, exhaustion, surgery, adhesion, anal abscess, fever, Abdominal pain, lesion, unwell, pain, purging, paresis, stress, x-ray, drug interaction, ache, massage, sore to touch, diarrhea, crying, nausea, wound, fatigue, nightmare, weight gain, retch, cough, colonoscopy, difficulty, dizziness, Constipation, rale, worry, chill, drowning, cold sweat, spasm, flare, headache, colectomy, Pain, lightheadedness, accident at work, opiates",52.77%
Linagliptin,"Diabetes, Type 2",tired,62.00%
Linagliptin / metformin,min),chill,68.51%
Linezolid,Methicillin-Resistant Staphylococcus Aureus Infection,"amputation, sleepy, tired",35.64%
Lioresal,Neuralgia,"pain, headache, intercostal neuralgia, ache",19.70%
Liothyronine,"Hypothyroidism, After Thyroid Removal, Underactive Thyroid","sleepy, fall, headache, tired, redness, difficulty, constipation, tremor, stress, ache, moody",53.02%
Lipitor,"High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous, Prevention of Cardiovascular Disease","adverse effect, anger, tired, heartburn, constipation, blood test, numbness, excruciating pain, Polyneuropathy, pain, adverse reaction, stress, ache, massage, scratch, nausea, Anxiety, weight gain, stiffness, stinging sensation, spasm, headache, redness",39.61%
Liraglutide,"Diabetes, Type 1, Diabetes, Type 2, Not Listed / Othe, Obesity, Weight Loss","food craving, sleepy, anger, fall, tired, Fasting, flatulence, vomiting, endoscopy, heartburn, redness, lung transplant, constipation, Rash, sweat, projectile vomiting, biopsy, hunger, gag, Fatigue, myalgia, surgery, drowsiness, fear of needles, fever, retch, starvation, injection site discomfort, panic, overweight, Hunger, pain, burning sensation, paresis, stress, Headache, overdose, nausea and vomiting, ache, diarrhea, crying, nausea, bite, fatigue, nightmare, weight gain, terrify, cough, gastric bypass, binge eating, Shock, dawn phenomenon, dizziness, difficulty, Constipation, swelling, delivery, anorexia, sedentary, worry, boredom, fear of falling, chill, cold sweat, palpitation, Scar, frustration, night sweat, withdraw, flare, alcoholic, headache, shortness of breath, lethargy, birth control, Nausea, insulin resistance, welt, lipase, Pancreatitis, Appendicitis",58.02%
Lisdexamfetamine,"ADHD, Chronic Fatigue Syndrome, Depression, Narcolepsy, Not Listed / Othe","hypersomnia, anger, fall, tired, panic, fatigue, bedridden, sweat, ache",64.97%
Lisinopril,"Coronary Artery Disease, Diabetic Kidney Disease, Heart Attack, Heart Failure, High Blood Pressure, Migraine Prevention, Not Listed / Othe","anger, fall, tired, vomiting, heartburn, Angioedema, productive cough, Fatigue, exhaustion, surgery, Delirium, snoring, Cough, diarrhea, bite, wound, fatigue, weight gain, retch, difficulty, flushing, worry, swollen tongue, chest discomfort, lightheadedness, Fall, redness, chest tightness, adverse effect, hypotension, alcoholism, constipation, sweat, numbness, muscle fatigue, Erectile dysfunction, ache, swelling, groggy, Pain, out of breath, gag, hyperkalemia, anxiety disorder, wheezing, Dizziness, side pain, overweight, pain, adverse reaction, Headache, tinnitus, aura, Migraine, hangover, smoker, nausea, cough, vertigo, withdraw, shortness of breath, lethargy, dialysis, sleepy, muscle injury, hacking cough, myalgia, blood test, panic, elation, polyuria, stress, heavy feeling, yawning, Hypertension, syncope, nightmare, dizziness, moody, palpitation, Scar, spasm, night sweat, headache, dry throat, Pancreatitis",38.94%
Lithium,"Bipolar Disorde, Borderline Personality Disorde, Cluster Headaches, Cyclothymic Disorde, Depression, Mania, Not Listed / Othe, Schizoaffective Disorde","mania, sleepy, seizure, anger, fall, tired, feeling cold, vomiting, alcoholism, homicidal thoughts, sweat, depressive symptom, gag, staring, autism spectrum disorder, drowsiness, suicidal, blood test, panic, elation, pain, nausea and vomiting, adverse reaction, stress, social phobia, autism, Depression, Tremor, tremor, ache, diarrhea, unhappy, delusion, gambling, crying, tongue biting, nausea, fatigue, Anxiety, nightmare, weight gain, negative thoughts, Mania, chill, withdraw, headache, hypomania",54.57%
Lithobid,"Bipolar Disorde, Schizoaffective Disorde","tired, vomiting, overweight, difficulty, tremor",55.13%
Lo / Ovral-28,"4 Abnormal Uterine Bleeding, Birth Control","mastectomy, headache, nausea, moody, weight gain, birth control, difficulty, ache, hysterectomy",45.89%
Lo Loestrin Fe,1  2      Birth Control,"food craving, sleepy, asymptomatic, seizure, adverse effect, anger, fall, tired, mental disorder, vomiting, gurgle, heartburn, redness, constipation, Rash, pelvic congestion, endometrial ablation, psychotherapy, sweat, agitation, staring, ingrown hair, abnormal weight gain, anxiety disorder, surgery, drowsiness, suicidal, unwanted pregnancy, fever, exhaustion, numbness, transfusion, panic, elation, pregnancy test, screaming, traction, pain, thicken, stress, Depression, Headache, aura, ache, hunger, hangover, diarrhea, unhappy, crying, libido increased, nausea, fatigue, nightmare, weight gain, terrify, cough, muscle mass, difficulty, retch, dizziness, swelling, stiffness, Mood swings, worry, underweight, moody, Scar, spasm, night sweat, abortion, daydreaming, shooting pain, myomectomy, headache, shortness of breath, withdraw, Pain, birth control, gag, bedridden, increased appetite",43.83%
LoSeasonique,"     Abnormal Uterine Bleeding, Birth Control, Endometriosis, Ovarian Cysts, Polycystic Ovary Syndrome, Premenstrual Syndrome","tired, fever, panic, pregnancy test, traction, pain, stress, uterine pain, heavy feeling, ache, crying, nausea, bite, fatigue, weight gain, moody, palpitation, withdraw, flare, headache, birth control, increased appetite",39.02%
Loperamide,"Diarrhea, Diarrhea, Acute, Diarrhea, Chronic, Traveler's Diarrhea","flare, pain, diarrhea, surgery",73.96%
Lopressor,"Angina, High Blood Pressure","tired, shortness of breath, panic, pain, stress",56.82%
Loratadine,"Allergic Reactions, Allergic Rhinitis, Not Listed / Othe, Urticaria","fever, Tic, smoker, fall, headache, cough, dizziness, swelling, nervousness, ache, drowsiness",49.26%
Loratadine / pseudoephedrine,"Allergic Rhinitis, Nasal Congestion","Sneezing, tired, headache, dizziness, ache",52.30%
Lorazepam,"Anxiety, Borderline Personality Disorde, Cervical Dystonia, Insomnia, Light Anesthesia, Nausea/Vomiting, Nausea/Vomiting, Chemotherapy Induced, Not Listed / Othe, Panic Disorde, Sedation, Status Epilepticus","sleepy, dependence, seizure, sleeplessness, breakthrough pain, anger, fall, tired, vomiting, pain management, Stress, sweat, agitation, nervousness, gag, myalgia, anxiety disorder, surgery, mastectomy, drowsiness, suicidal, bankruptcy, Kidney infection, numbness, Menopause, sciatica, panic, elation, snore, screaming, traction, pain, nausea and vomiting, stress, social phobia, snoring, Depression, overdose, aura, coronary artery dissection, ache, heavy feeling, Vomiting, hangover, diarrhea, crying, nausea, fatigue, Anxiety, nightmare, Mass, difficulty, vertigo, Insomnia, dizziness, flushing, rale, worry, chill, Scar, spasm, artery dissection, shooting pain, dystonia, withdraw, alcoholic, headache, shortness of breath, tooth extraction, groggy, Nausea, cyst removal, redness",62.56%
Lorcaserin,"Obesity, Weight Loss","anger, tired, headache, feeling cold, burning sensation, hunger, Depression, ache",57.13%
Lorcet,Pain,"cough, Pain",83.00%
Lorcet 10 / 650,"Back Pain, Pain, Rheumatoid Arthritis","retch, Arthritis, pain, flare",62.80%
Loryna,"Acne, Birth Control, Menstrual Disorders, Premenstrual Dysphoric Disorde","fall, tired, sweat, surgery, suicidal, panic, elation, pain, Headache, hip surgery, ache, scratch, crying, nausea, fatigue, nightmare, weight gain, dizziness, swelling, negative thoughts, worry, moody, cold sweat, flare, breast feeding, headache, shortness of breath, birth control",35.26%
Losartan,"High Blood Pressure, Not Listed / Othe","sleepy, adverse effect, hypotension, anger, fall, tired, Lymphoma, vomiting, heartburn, allergy test, hacking cough, constipation, sweat, gag, sudden death, myalgia, exhaustion, fever, numbness, stuffy nose, panic, excruciating pain, pain, Pneumonia, stress, Headache, erectile dysfunction, ache, heavy feeling, Migraine, blood potassium, Vomiting, diarrhea, smoker, nonsmoker, nausea, fatigue, weight gain, Bradycardia, cough, difficulty, vertigo, retch, dizziness, swelling, stiffness, dizzy spells, flushing, malaise, chill, palpitation, Scar, spasm, withdraw, headache, shortness of breath, chest discomfort, groggy, Pain, Nausea, extreme exhaustion, redness",37.33%
Loteprednol,"Conjunctivitis, Cyclitis, Iritis, Keratitis, Postoperative Ocular Inflammation, Seasonal Allergic Conjunctivitis","crying, corneal transplant, panic, pain, swelling, worry, surgery",53.18%
Lotrel,High Blood Pressure,"fall, headache, lightheadedness, weight gain, pain, swelling, ache",47.31%
Lovastatin,"High Cholesterol, High Cholesterol, Familial Heterozygous","adverse effect, tired, tendon pain, pain, Constipation, ache",43.44%
Lovaza,"Dietary Supplementation, Hypertriglyceridemia","shortness of breath, pain",54.38%
Lovenox,"Angina, Deep Vein Thrombosis, Deep Vein Thrombosis, Prophylaxis","prophylaxis, pain, Pain",64.31%
Loxapine,"Agitation, Not Listed / Othe, Schizophrenia","sleepy, tired, headache, weight gain, ache, drowsiness, redness",40.20%
Lubiprostone,"Constipation, Chronic","headache, ache, constipation, nausea",71.00%
Luminal,Seizures,seizure,58.69%
Lunesta,1 Insomnia,"sleepy, dependence, seizure, adverse effect, anger, fall, tired, pain management, constipation, Stress, sweat, hunger, gag, myalgia, surgery, drowsiness, delayed sleep phase, screaming, pain, tremor, stress, ache, incoherent, Arthritis, hangover, delusion, nausea, fatigue, Anxiety, nightmare, weight gain, cough, worry, hysterectomy, palpitation, withdraw, headache, shortness of breath, groggy",47.10%
Lurasidone,"Bipolar Disorde, Borderline Personality Disorde, Not Listed / Othe, Schizoaffective Disorde, Schizophrenia","seizure, anger, tired, hunger, agitation, gag, suicidal, panic, excruciating pain, elation, Major depression, pain, stress, Depression, erectile dysfunction, ache, delusion, crying, nausea, Anxiety, anhedonia, weight gain, terrify, spasm, withdraw, Irritability",54.74%
Lutera,"   Abnormal Uterine Bleeding, Birth Control, Endometriosis, Polycystic Ovary Syndrome","fall, tired, constipation, hunger, unwanted pregnancy, panic, elation, pain, stress, ache, crying, nausea, fatigue, nightmare, weight gain, dizziness, swelling, delivery, moody, palpitation, frustration, withdraw, headache, birth control",53.09%
Luvox,"1 Anxiety and Stress, Depression, Obsessive Compulsive Disorde, Post Traumatic Stress Disorde","sleepy, fall, tired, compulsions, vomiting, alcoholism, sweat, depressive symptom, myalgia, drowsiness, suicidal, blood test, panic, hoard, adverse reaction, stress, tremor, erectile dysfunction, ache, diarrhea, crying, obsessive thoughts, nausea, fatigue, weight gain, terrify, difficulty, Colitis, rale, worry, night sweat, withdraw, flare, headache",52.09%
Luvox CR,"Anorexia/Feeding Problems, Anxiety and Stress, Depression, Obsessive Compulsive Disorde, Post Traumatic Stress Disorde, Social Anxiety Disorde","sleepy, withdraw, anger, obsessive thoughts, headache, fall, compulsions, Anxiety, panic, elation, stress, ache",61.62%
Lybrel,"Birth Control, Endometriosis","birth control, hysterectomy",62.12%
Lysine,"Aphthous Ulce, Herbal Supplementation, Herpes Simplex, Herpes Simplex, Suppression","fever, drug therapy, crying, tired, headache, scab, elation, birth control, pain, stress, ache",63.19%
Lyza,"Abnormal Uterine Bleeding, Birth Control","unhappy, tired, headache, nausea, vomiting, pregnancy test, birth control, weight gain, pain, stress, ache, wheezing, moody",41.91%
MCT,Dietary Supplementation,"tired, diarrhea",-2.71%
MG217 Medicated Tar,Psoriasis,redness,72.11%
Macrobid,"Bladder Infection, Prevention of Bladder infection, Urinary Tract Infection","sleepy, anger, tired, vomiting, constipation, sweat, Fatigue, drowsiness, fever, pain, Headache, Chills, ache, bladder spasm, hangover, scratch, diarrhea, nausea, fatigue, cough, dizziness, stiffness, worry, chill, spasm, flare, headache, shortness of breath, Nausea, lithotripsy, neck stiffness, lethargy, red blotches, redness",37.66%
Macrodantin,"Bladder Infection, Prevention of Bladder infection, Urinary Tract Infection","diarrhea, tired, headache, nausea, fatigue, unwell, pain, ache",53.40%
Magnacet,Pain,pain,71.45%
Magnesium amino acids chelate,Hypomagnesemia,amphetamines,75.81%
Magnesium citrate,"Constipation, Not Listed / Othe","fall, tired, vomiting, gurgle, constipation, sweat, gag, surgery, blood test, pain, stress, analgesia, ache, massage, diarrhea, nausea, retch, cough, colonoscopy, Constipation, chill, spasm, shooting pain, headache, Fall, opiates",64.62%
Magnesium hydroxide,"Acne, Constipation, Indigestion","diarrhea, flare, nausea, vomiting, Pain, pain, constipation, nausea and vomiting",67.44%
Magnesium oxide,"Constipation, Hypomagnesemia, Not Listed / Othe","spasm, diarrhea, nausea, heartburn, pain, constipation",73.08%
Magnesium salicylate,"Inflammatory Conditions, Pain","hangover, headache, Pain, pain, ache",64.11%
Magnesium sulfate,Seizure Prevention,"delivery, flushing, nausea",8.96%
Magnesium sulfate / potassium sulfate / sodium sulfate,"Bowel Preparation, Not Listed / Othe","sleepy, seizure, anger, fall, Psoriasis, vomiting, endoscopy, gurgle, heartburn, constipation, sweat, hunger, projectile vomiting, biopsy, nervousness, gag, surgery, fever, choke, panic, pain, nausea and vomiting, stress, Headache, Chills, ache, massage, Vomiting, hangover, diarrhea, crying, nausea, bite, wound, fatigue, nightmare, retch, cough, colonoscopy, difficulty, dizziness, flushing, Colitis, rale, worry, chill, drowning, cold sweat, Scar, spasm, alcoholic, headache, groggy, redness",51.54%
Magnevist,CNS Magnetic Resonance Imaging,"tired, ache",1.49%
Malarone,"Malaria, Malaria Prevention","night sweat, anger, fall, headache, nausea, fatigue, unwell, vertigo, traction, pain, malaria, dizziness, stress, prophylaxis, sweat, welt, ache",43.55%
Malathion,Head Lice,ache,64.06%
Maprotiline,"Depression, Major Depressive Disorde, Panic Disorde","panic, hypotension",60.95%
Marcaine,Local Anesthesia,"hidradenitis, pain",62.00%
Marezine,"Motion Sickness, Nausea/Vomiting","sleepy, vertigo, dizziness, tired",73.36%
Marinol,"2 AIDS Related Wasting, Anorexia, Nausea/Vomiting, Chemotherapy Induced","anger, tired, headache, mental status changes, nausea, ache, vomiting, Nausea, pain, paresis, hunger, adverse reaction, stress, tremor, anorexia, immunodeficiency, nausea and vomiting, surgery",63.57%
Marplan,Depression,"mania, hypotension, weight gain, pain, hypomania",69.95%
Maxair Autohaler,"Asthma, Maintenance, Asthma, acute","nervousness, headache, ache",53.95%
Maxalt,Migraine,"sleepy, seizure, tired, vomiting, moan, drowsiness, fever, choke, excruciating pain, pain, stress, Headache, aura, ache, Migraine, nausea, fatigue, difficulty, dizziness, worry, moaning, headache, groggy, Pain, sneeze, complex partial seizures, redness",64.26%
Maxalt-MLT,Migraine,"sleepy, anger, fall, tired, vomiting, drowsiness, surgery, suicidal, lesion, screaming, pain, burning sensation, aura, ache, Migraine, nausea, muscle tightness, dizziness, rale, worry, headache, groggy, Pain, Aura",64.98%
Maxifed DM,Cough and Nasal Congestion,sleepy,56.00%
Meclizine,"Motion Sickness, Nausea/Vomiting, Not Listed / Othe, Vertig","sleepy, fall, tired, vomiting, feeling drunk, drowsiness, surgery, pain, nausea and vomiting, stress, ache, hangover, nausea, fatigue, vertigo, dizziness, dizzy spells, room spinning, withdraw, headache, lightheadedness, groggy, redness",50.53%
Medrol,"Asthma, Maintenance, Asthma, acute, Gout, Acute, Inflammatory Conditions, Rheumatoid Arthritis","anger, pain, suicidal, stress",59.29%
Medroxyprogesterone,"Abnormal Uterine Bleeding, Amenorrhea, Birth Control, Endometrial Hyperplasia, Prophylaxis, Endometriosis, Not Listed / Othe, Renal Cell Carcinoma","anger, fall, tired, blood count, vomiting, heartburn, surgery, unwanted pregnancy, fever, scar tissue, nausea and vomiting, tremor, laparoscopic surgery, diarrhea, unhappy, fatigue, weight gain, terrify, retch, worry, cold sweat, lightheadedness, personality change, neck stiffness, increased appetite, redness, mania, endoscopy, constipation, sweat, hunger, nervousness, drowsiness, suicidal, Tachycardia, numbness, excruciating pain, unwell, muscle fatigue, tubal ligation, ache, crying, post coital bleeding, binge eating, swelling, delivery, Mood swings, breast feeding, hormone therapy, Chest pain, Pain, laparoscopy, seizure, out of breath, side pain, osteopenia, overweight, traction, pain, burning sensation, Depression, x-ray, Headache, aura, Migraine, hangover, nausea, stiffness, underweight, frustration, withdraw, shooting pain, shortness of breath, Nausea, sleepy, Crying, immunisation, bed rest, coital bleeding, biopsy, blighted ovum, blood test, transfusion, panic, elation, pregnancy test, screaming, stress, nightmare, Mass, dizziness, chill, hysterectomy, moody, palpitation, Scar, spasm, night sweat, abortion, flare, Breast feeding, headache, cyst rupture, birth control",34.44%
Mefenamic acid,"Not Listed / Othe, Pain, Period Pain","cold sweat, diarrhea, anger, crying, nausea, fall, vomiting, screaming, pain, sweat, endometrial ablation",43.45%
Mefloquine,"Malaria, Malaria Prevention","numbness, anger, muscle twitch, panic, nightmare, malaria, sweat, divorced, prophylaxis, paresthesia, suicidal",34.93%
Megestrol,"Abnormal Uterine Bleeding, Anorexia, Cachexia, Endometrial Cance, Endometrial Hyperplasia, Hot Flashes, Weight Loss","atypia, anger, fall, tired, sweat, hunger, biopsy, surgery, transfusion, pain, uterine pain, lung infection, ache, fatigue, weight gain, swelling, stiffness, chill, hysterectomy, moody, elderly, spasm, night sweat, hormone therapy, headache, shortness of breath, Hyperplasia, increased appetite",54.76%
Mekinist,"Melanoma, Metastatic","nausea, pain, stress",67.00%
Melatonin,"Insomnia, Not Listed / Othe","sleepy, fall, tired, cancer pain, sweat, agitation, myalgia, drowsiness, anxiety disorder, delayed sleep phase, panic, pain, autism, ache, yawning, nausea, nightmare, retch, difficulty, Insomnia, worry, hysterectomy, headache, parasomnia, groggy",49.70%
Meloxicam,"Inflammatory Conditions, Juvenile Rheumatoid Arthritis, Not Listed / Othe, Osteoarthritis, Rheumatoid Arthritis, Tendonitis, ibromyalgia","asymptomatic, breakthrough pain, anger, fall, post concussion syndrome, tired, heartburn, endoscopy, pain management, constipation, Sciatica, myalgia, surgery, wheezing, ovarian failure, fever, blood test, numbness, Injury, transfusion, sciatica, excruciating pain, labored breathing, elation, overweight, pain, adverse reaction, ache, gastrectomy, Arthritis, diarrhea, chondritis, nausea, bite, fatigue, weight gain, retch, difficulty, dizziness, swelling, stiffness, sports injury, worry, chill, Scar, fibroma, spasm, withdraw, flare, hormone therapy, headache, Pain, Nausea, Fall, Back pain, low back pain, redness",51.14%
Memantine,"Alzheimer's Disease, Autism, Migraine, Not Listed / Othe","seizure, obsessive thoughts, headache, vascular dementia, weight gain, pain, dizziness, ache",50.50%
Meningococcal conjugate vaccine,Meningococcal Meningitis Prophylaxis,"headache, fatigue, swelling, agitation, ache",7.00%
Meningococcal group B vaccine,"Meningitis, Meningococcal","ache, fever, headache, worry",49.00%
Menthol,Pain,"retch, pain",66.88%
Menthol / zinc oxide,Diaper Rash,"pain, diarrhea",62.43%
Meperidine,"Light Sedation, Pain","seizure, breakthrough pain, anger, fall, tired, vomiting, pain management, constipation, sweat, gag, myalgia, surgery, drowsiness, numbness, sciatica, Death, pain, thicken, nausea and vomiting, hip surgery, tubal ligation, ache, Surgery, Migraine, hangover, nausea, colonoscopy, oral surgery, spasm, night sweat, withdraw, headache, groggy, Pain, Pancreatitis",68.27%
Meperidine / promethazine,Pain,"spasm, fall, nausea, groggy, pain, feeling drunk, drowsiness, surgery",65.66%
Mephobarbital,Epilepsy,"nausea, hangover, seizure, ache",72.62%
Mephyton,Vitamin K Deficiency,suicidal,70.00%
Mepivacaine,Local Anesthesia,pain,26.25%
Mepolizumab,Asthma,"blood test, anger, nausea, fatigue, Back pain, pain, ache",39.09%
Meprobamate,Anxiety,"withdraw, panic, Anxiety, affective disorder, panic disorder with agoraphobia, stress, myalgia, anxiety disorder",58.59%
Mepron,Babesiosis,ache,11.47%
Mercaptopurine,"Autoimmune Hepatitis, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Ulcerative Colitis, Maintenance","abdominal bloating, Hepatitis, numbness, diarrhea, anger, fall, nausea, tired, blood count, fatigue, vomiting, nightmare, pain, dizziness, tinnitus, ache",41.88%
Meridia, Obesity,"fall, headache, nausea, muscle twitch, weight gain, aversion, overweight, constipation, hunger, tremor, stress, nervousness, ache, surgery",61.62%
Mesalamine,"Inflammatory Bowel Disease, Ulcerative Colitis, Ulcerative Colitis, Active, Ulcerative Colitis, Maintenance, Ulcerative Proctitis","massage, diarrhea, flare, tired, colonoscopy, swelling, surgery",54.92%
Mestinon,"Dysautonomia, Myasthenia Gravis, Reversal of Nondepolarizing Muscle Relaxants","asthenia, thymectomy, diarrhea, spasm, flare, headache, bite, shortness of breath, ache, retch, difficulty, pain, constipation, Stress, tremor, myalgia, drowsiness",41.51%
Mestranol / norethindrone,"Abnormal Uterine Bleeding, Birth Control, Endometriosis","transfusion, fall, shortness of breath, nausea, panic, vomiting, nightmare, Nausea, birth control, pain, nausea and vomiting",38.70%
Metamucil,"Constipation, Dietary Fiber Supplementation, Irritable Bowel Syndrome","diarrhea, nausea, colonoscopy, pain, constipation, ache",50.96%
Metaproterenol,"Asthma, Maintenance, COPD, Acute",spasm,74.48%
Metaxalone,"Muscle Spasm, ibromyalgia","sleepy, anger, fall, tired, vomiting, tendon pain, constipation, myalgia, drowsiness, surgery, numbness, choke, excruciating pain, screaming, pain, stress, ache, nausea, wound, fatigue, retch, swelling, stiffness, flushing, spasm, open wound, headache, Pain, low back pain",56.12%
Metformin,"Diabetes, Type 2, Insulin Resistance Syndrome, Polycystic Ovary Syndrome, emale Infertility, min)","food craving, adverse effect, anger, fall, tired, Fasting, flatulence, vomiting, heartburn, constipation, sweat, hunger, biopsy, nervousness, no adverse effect, exhaustion, surgery, blood test, numbness, panic, excruciating pain, liposuction, pregnancy test, unwell, overweight, traction, pain, nausea and vomiting, adverse reaction, stress, erectile dysfunction, Headache, ache, diarrhea, crying, nausea, bite, fatigue, nightmare, weight gain, cough, difficulty, weight control, dizziness, swelling, dizzy spells, worry, underweight, hysterectomy, spasm, weight fluctuation, night sweat, withdraw, headache, shortness of breath, Hypothyroidism, hirsutism, metabolic syndrome, birth control, Nausea, insulin resistance, sneeze, lethargy, redness",52.21%
Metformin / sitagliptin,"Diabetes, Type 2, min / sitagliptin)","cold sweat, diarrhea, spasm, night sweat, fall, headache, nausea, vomiting, overweight, pain, dizziness, sweat, stress, ache, surgery",43.56%
Methadone,"Chronic Pain, Not Listed / Othe, Opiate Withdrawal, Pain","debridement, sleepy, dependence, chronic fatigue syndrome, breakthrough pain, anger, fall, tired, acupuncture, vomiting, pain management, constipation, sweat, Sciatica, liver transplant, Fatigue, drug screen, surgery, adhesion, myalgia, suicidal, fever, wheezing, decreased activity, carditis, elation, osteopenia, screaming, pain, burning sensation, paresis, tremor, stress, overdose, ache, Surgery, Arthritis, hot flush, diarrhea, nausea, bite, theft, fatigue, nightmare, weight gain, retch, gastric bypass, difficulty, dizziness, flushing, Constipation, rale, homeless, Radiculopathy, worry, moody, analgesic effect, spasm, night sweat, withdraw, flare, neuropathic pain, Chest pain, headache, shortness of breath, Pain, bedridden, opiates",64.20%
Methamphetamine,ADHD,"pain, nightmare",53.09%
Methenamine,"Bladder Infection, Kidney Infections, Prevention of Bladder infection, Urinary Tract Infection","pain, ache, vomiting, stress",63.72%
Methergine,Migraine,"headache, migraine with aura, pain, aura, ache, Migraine",67.93%
Methimazole,Hyperthyroidism,"palpitation, tired, headache, nausea, weight gain, pain, tremor, ache, surgery",35.87%
Methocarbamol,"Muscle Spasm, Not Listed / Othe, Opiate Withdrawal","sleepy, intestinal spasm, compression fracture, fall, tired, out of breath, vomiting, heartburn, pain management, sweat, gag, myalgia, drug screen, thoracic outlet syndrome, occipital neuralgia, surgery, drowsiness, numbness, sciatica, elation, traction, pain, stress, ache, Surgery, hangover, diarrhea, kyphosis, muscular dystrophy, muscle tightness, nausea, nightmare, stiffness, spasm, withdraw, shooting pain, alcoholic, headache, groggy, Pain, Muscle spasms, Nausea, low back pain, opiates",44.82%
Methotrexate,"Cogan's Syndrome, Ectopic Pregnancy, Eczema, Gastric Cance, Lymphoma, Neoplastic Diseases, Psoriasis, Psoriatic Arthritis, Rheumatoid Arthritis, Scleroderma, Systemic Sclerosis","anger, fall, tired, Psoriasis, vomiting, tendon pain, sweat, biopsy, myalgia, surgery, suicidal, fever, blood test, panic, unwell, pain, stress, erythrodermic psoriasis, x-ray, ache, Arthritis, scratch, diarrhea, tanning, nausea, fatigue, nightmare, weight gain, retch, cough, muscle mass, difficulty, guttate psoriasis, dizziness, swelling, stiffness, malaise, flare, autoimmune disorder, headache, Nausea, lethargy, redness",52.48%
Methscopolamine,"Dumping Syndrome, Irritable Bowel Syndrome, Not Listed / Othe","diarrhea, dry throat, pain, constipation, ache",53.29%
Methyl salicylate,"Muscle Pain, Osteoarthritis, Rheumatoid Arthritis","nausea, pain, surgery, Pain",51.34%
Methyldopa,"High Blood Pressure, Hypertensive Emergency","sleepy, Hypertension",55.58%
Methylergonovine,Migraine,"headache, ache",75.75%
Methylin ER,"ADHD, Depression, Narcolepsy","difficulty, ache",64.07%
Methylnaltrexone,"Constipation, Chronic, Constipation, Drug Induced, Opioid-Induced Constipation","amputation, diarrhea, withdraw, fall, headache, bite, nausea, vomiting, Pain, opiates, pain management, pain, sweat, adverse reaction, stress, Constipation, overdose, constipation, ache, Surgery",48.93%
Methylphenidate,"ADHD, Depression, Narcolepsy, Not Listed / Othe, Obesity, Postural Orthostatic Tachycardia Syndrome, Severe Mood Dysregulation, atigue","mania, Bipolar I disorder, sleepy, seizure, adverse effect, fall, tired, sweat, gag, staring, no adverse effect, myalgia, suicidal, Autism, drug therapy, Tic, elation, aggression, overweight, traction, pain, stress, autism, Depression, ache, crying, nausea, wound, fatigue, nightmare, weight gain, difficulty, underweight, moody, palpitation, headache, hypomania, lethargy",57.62%
